order_id,order_date,customer_id,product_id,quantity,price_x,discount_pct,discount_value,shipping_cost,cost_of_goods_sold,revenue,profit,payment_method,marketing_channel,campaign,order_status,delivery_time_days,churn_risk_score,propensity_to_buy,customer_name,email,age,gender,city,state,acquisition_cost,product_category,product_name,price_y,cost_of_goods_sold_pct
O5014,2025-08-17,C1489,P2024,1,201.01,0.0,0.0,5.0,106.54,206.01,89.47,PayPal,Affiliate,Holiday Promo,Delivered,2,0.9093041464060494,0.008223131388891525,Ana Rodrigues,ana.rodrigues489@example.com,18,Female,Recife,PE,33.61,Sports,Fitness Tracker,201.01,0.53
O5015,2025-07-09,C1523,P2000,1,203.97,0.1,20.4,9.9,130.54,193.47,43.13,Debit Card,Affiliate,,Delivered,2,0.7139145840836343,0.43543612890203554,Julia Rodrigues,julia.rodrigues523@example.com,50,Male,Fortaleza,RS,29.39,Electronics,Wireless Headphones,203.97,0.64
O5016,2025-01-30,C1538,P2021,1,304.91,0.0,0.0,9.9,201.24,314.81,93.77,PayPal,Email,Abandoned Cart,Delivered,4,0.2024621836388314,0.8901151363098093,Ana Lima,ana.lima538@example.com,65,Female,Florianópolis,DF,24.03,Sports,Running Shorts,304.91,0.66
O5017,2025-08-23,C1087,P2020,1,175.28,0.0,0.0,18.0,124.45,193.28,32.83,Credit Card,Affiliate,,Delivered,2,0.1993501289446863,0.42543119425634557,Isabela Lima,isabela.lima87@example.com,23,Male,Belo Horizonte,BA,13.94,Sports,Yoga Mat,175.28,0.71
O5018,2025-07-17,C1061,P2020,1,175.28,0.05,8.76,18.0,124.45,184.52,24.07,PayPal,Email,Holiday Promo,Delivered,7,0.16474103836327192,0.0421504169629342,Sofia Ramos,sofia.ramos61@example.com,51,Female,Salvador,DF,15.44,Sports,Yoga Mat,175.28,0.71
O5019,2025-03-29,C1207,P2009,1,214.64,0.2,42.93,9.9,137.37,181.61,24.44,Boleto,Paid Search,,Delivered,3,0.9543646155515045,0.20572482752966637,Bruno Ramos,bruno.ramos207@example.com,20,Female,Recife,RJ,13.21,Home,Kitchen Knife,214.64,0.64
O5020,2025-02-05,C1519,P2003,1,120.28,0.05,6.01,0.0,76.98,114.27,37.29,Pix,Organic Search,Summer Sale,Delivered,5,0.8019463200450697,0.7268186409522366,Carla Silva,carla.silva519@example.com,34,Male,Porto Alegre,PE,44.13,Electronics,Bluetooth Speaker,120.28,0.64
O5021,2025-07-30,C1296,P2009,2,214.64,0.05,21.46,18.0,274.74,425.82,115.08,,Affiliate,,Delivered,5,0.6751438544438484,0.17023303243833054,Carla Almeida,carla.almeida296@example.com,30,Female,Brasília,CE,10.71,Home,Kitchen Knife,214.64,0.64
O5022,2024-12-23,C1060,P2023,1,123.05,0.05,6.15,5.0,77.52,121.9,34.38,Credit Card,Email,,Delivered,10,0.9000295705347177,0.9260620645176425,Daniel Nascimento,daniel.nascimento60@example.com,40,Female,Curitiba,SP,9.51,Sports,Water Bottle,123.05,0.63
O5023,2025-08-01,C1243,P2014,1,251.75,0.0,0.0,0.0,108.25,251.75,143.5,Credit Card,Affiliate,Holiday Promo,Delivered,2,0.9859616844014174,0.031534628131224096,Beatriz Fernandes,beatriz.fernandes243@example.com,39,Male,Curitiba,RJ,16.9,Fashion,Sunglasses,251.75,0.43
O5024,2025-06-13,C1315,P2013,1,373.0,0.0,0.0,25.0,268.56,398.0,79.44,Credit Card,Email,Summer Sale,Delivered,2,0.11184594379763291,0.640260721884227,Camila Gomes,camila.gomes315@example.com,33,Male,Porto Alegre,MG,13.26,Fashion,Backpack,373.0,0.72
O5025,2025-10-10,C1112,P2004,1,54.76,0.0,0.0,-18.0,23.55,72.76,13.21,PayPal,Email,,Delivered,4,0.9034002408930234,0.2311308636059981,Mateus Almeida,mateus.almeida112@example.com,21,Female,São Paulo,SC,5.18,Electronics,Smartwatch,54.76,0.43
O5026,2024-11-15,C1498,P2003,1,120.28,0.0,0.0,12.5,76.98,132.78,30.8,Credit Card,Email,Abandoned Cart,Delivered,3,0.3900382776543051,0.8097537174356638,Eduardo Fernandes,eduardo.fernandes498@example.com,27,Male,Salvador,RS,27.26,Electronics,Bluetooth Speaker,120.28,0.64
O5027,2025-03-12,C1287,P2007,1,108.27,0.0,0.0,0.0,49.8,108.27,58.47,Credit Card,Email,Abandoned Cart,Delivered,5,0.436049220621891,0.2737979914019122,Laura Gomes,laura.gomes287@example.com,46,Female,São Paulo,SP,2.7,Home,LED Lamp,108.27,0.46
O5028,2025-05-17,C1496,P2013,1,373.0,0.05,18.65,0.0,268.56,354.35,85.79,PayPal,Affiliate,Abandoned Cart,Delivered,3,0.4592373913640909,0.9739407666667818,Bruno Nascimento,bruno.nascimento496@example.com,18,Male,Curitiba,PR,21.97,Fashion,Backpack,373.0,0.72
O5029,2024-10-31,C1190,P2018,1,415.53,0.2,83.11,12.5,241.01,344.92,78.91,Credit Card,Organic Search,,Delivered,3,0.3120919159070821,0.26855410620967946,Carla Lima,carla.lima190@example.com,62,Female,Brasília,SC,18.53,Beauty,Lipstick,415.53,0.58
O5030,2025-03-21,C1045,P2023,1,123.05,0.05,6.15,9.9,77.52,126.8,29.48,Boleto,Affiliate,New Launch,Delivered,2,0.6134262615212319,0.02977190740713198,Carla Rodrigues,carla.rodrigues45@example.com,21,Female,São Paulo,SP,24.56,Sports,Water Bottle,123.05,0.63
O5031,2025-04-16,C1268,P2001,1,18.94,0.0,0.0,5.0,11.17,23.94,2.77,Debit Card,Email,,Delivered,3,0.17064358875210528,0.31137633690532385,Eduardo Nascimento,eduardo.nascimento268@example.com,53,Male,Florianópolis,MG,17.88,Electronics,Smartphone Case,18.94,0.59
O5032,2024-10-22,C1534,P2006,1,20.98,0.1,2.1,5.0,9.44,23.88,4.44,Pix,Organic Search,Summer Sale,Delivered,2,0.6801773513401055,0.3644362447707399,Gustavo Ramos,gustavo.ramos534@example.com,51,Female,Florianópolis,PR,31.8,Home,Throw Pillow,20.98,0.45
O5033,2024-12-07,C1595,P2021,1,304.91,0.0,0.0,9.9,201.24,314.81,93.77,Boleto,Direct,Summer Sale,Delivered,5,0.767153102143225,0.340277462168857,Laura Souza,laura.souza595@example.com,27,Male,Salvador,MG,11.73,Sports,Running Shorts,304.91,0.66
O5034,2024-10-15,C1471,P2009,1,214.64,0.1,21.46,0.0,137.37,193.18,55.81,Credit Card,Direct,,Delivered,3,0.19759738484107947,0.1290736653068295,Isabela Lima,isabela.lima471@example.com,21,Non-binary,Brasília,SP,10.08,Home,Kitchen Knife,214.64,0.64
O5035,2025-01-07,C1537,P2009,1,214.64,0.2,42.93,9.9,137.37,181.61,24.44,Boleto,Social (Facebook),Summer Sale,Delivered,2,0.3708340845939895,0.7458010487660107,Thiago Almeida,thiago.almeida537@example.com,28,Female,Salvador,DF,47.67,Home,Kitchen Knife,214.64,0.64
O5036,2024-12-16,C1326,P2006,1,20.98,0.15,3.15,0.0,9.44,17.83,8.39,PayPal,Social (Facebook),New Launch,Delivered,3,0.7862939288416982,0.41285927061707284,Isabela Nascimento,isabela.nascimento326@example.com,50,Male,São Paulo,BA,17.24,Home,Throw Pillow,20.98,0.45
O5037,2025-06-25,C1098,P2024,1,201.01,0.1,20.1,12.5,106.54,193.41,,Boleto,Direct,,Pending,7,0.4960348094062643,0.24607414227682844,Paula Silva,paula.silva98@example.com,30,Male,Salvador,RJ,29.9,Sports,Fitness Tracker,201.01,0.53
O5038,2025-05-14,C1527,P2010,1,278.93,0.0,0.0,0.0,172.94,278.93,105.99,Boleto,Email,Holiday Promo,Delivered,7,0.8055268624050334,0.1410789215193744,Sofia Carvalho,sofia.carvalho527@example.com,51,Female,Fortaleza,SC,49.53,Fashion,T-Shirt,278.93,0.62
O5039,2025-07-22,C1223,P2000,1,203.97,0.0,0.0,0.0,130.54,203.97,73.43,PayPal,Email,Flash Sale,Delivered,3,0.9046734375317367,0.0904862918495527,Ana Barbosa,ana.barbosa223@example.com,50,Female,Brasília,DF,7.08,Electronics,Wireless Headphones,203.97,0.64
O5040,2025-08-27,C1497,P2000,1,203.97,0.0,0.0,12.5,130.54,216.47,60.93,PayPal,Direct,Holiday Promo,Delivered,2,0.6991833749902954,0.4391008057493109,Felipe Lima,felipe.lima497@example.com,42,Female,São Paulo,CE,23.57,Electronics,Wireless Headphones,203.97,0.64
O5041,2025-07-08,C1033,P2011,1,50.3,0.0,0.0,25.0,36.72,75.3,-11.42,Credit Card,Affiliate,Abandoned Cart,Delivered,2,0.48289145599427674,0.48405311915220717,Rafael Fernandes,rafael.fernandes33@example.com,58,Male,Fortaleza,RJ,34.43,Fashion,Jeans,50.3,0.73
O5042,2025-02-04,C1519,P2014,1,251.75,0.1,25.18,12.5,108.25,239.07,105.82,PayPal,Affiliate,Summer Sale,Delivered,2,0.19059030112082598,0.6641437572413672,Carla Silva,carla.silva519@example.com,34,Male,Porto Alegre,PE,44.13,Fashion,Sunglasses,251.75,0.43
O5043,2024-11-19,C1411,P2017,1,44.78,0.0,0.0,18.0,22.39,62.78,4.39,Pix,Organic Search,,Delivered,3,0.481251282371572,0.7105106495310913,Lucas Pereira,lucas.pereira411@example.com,38,Male,Rio de Janeiro,RS,49.03,Beauty,Perfume,44.78,0.5
O5044,2024-12-30,C1291,P2014,2,251.75,0.05,25.18,12.5,216.5,490.82,249.32,Boleto,Direct,,Delivered,2,0.1413127444941602,0.3089764607868172,Marina Costa,marina.costa291@example.com,60,Male,Salvador,RJ,27.02,Fashion,Sunglasses,251.75,0.43
O5045,2024-10-30,C1285,P2000,1,203.97,0.1,20.4,9.9,130.54,193.47,43.13,Debit Card,Social (Instagram),Holiday Promo,Cancelled,5,0.6376642845894569,0.6545144667421172,Camila Souza,camila.souza285@example.com,35,Male,Fortaleza,MG,20.03,Electronics,Wireless Headphones,203.97,0.64
O5046,2024-11-14,C1061,P2018,2,415.53,0.2,166.21,5.0,482.01,669.85,177.84,Credit Card,Direct,Summer Sale,Delivered,2,0.8378966746987134,0.11387000260536484,Sofia Ramos,sofia.ramos61@example.com,51,Female,Salvador,DF,15.44,Beauty,Lipstick,415.53,0.58
O5047,2025-04-19,C1431,P2019,1,249.17,0.0,0.0,5.0,114.62,254.17,129.55,Credit Card,Paid Search,New Launch,Delivered,3,0.8067447434722521,0.7974269303831826,Carla Souza,carla.souza431@example.com,52,Female,Brasília,RS,44.11,Beauty,Nail Polish,249.17,0.46
O5048,2025-04-13,C1090,P2020,3,175.28,0.05,26.29,9.9,373.35,509.45,116.3,Pix,Direct,Holiday Promo,Delivered,4,0.31162279968354,0.5403670096666979,Pedro Nascimento,pedro.nascimento90@example.com,66,Female,São Paulo,BA,40.5,Sports,Yoga Mat,175.28,0.71
O5049,2025-01-15,C1480,P2016,1,335.99,0.0,0.0,0.0,188.15,335.99,147.84,PayPal,Affiliate,,Delivered,5,0.9266635593944696,0.41211234696476806,Gustavo Ramos,gustavo.ramos480@example.com,49,Female,Fortaleza,SC,27.08,Beauty,Sunscreen,335.99,0.56
O5050,2025-07-11,C1258,P2012,1,379.74,0.15,56.96,9.9,254.43,332.68,,PayPal,Email,Flash Sale,Delivered,4,0.24301676297073582,0.04107822800411853,Sofia Pereira,sofia.pereira258@example.com,58,Female,Florianópolis,MG,5.47,Fashion,Sneakers,379.74,0.67
O5051,2025-01-14,C1322,P2016,1,335.99,0.0,0.0,18.0,188.15,353.99,129.84,PayPal,Social (Facebook),Flash Sale,Delivered,3,0.7568118192423505,0.06644827686128185,Rafael Barbosa,rafael.barbosa322@example.com,54,Female,São Paulo,SC,32.14,Beauty,Sunscreen,335.99,0.56
O5052,2025-01-23,C1381,P2002,1,281.78,0.1,28.18,25.0,171.89,278.6,56.71,Boleto,Direct,Summer Sale,Delivered,4,0.6575818868033289,0.18801715355357784,Felipe Costa,felipe.costa381@example.com,62,Male,Belo Horizonte,PR,42.93,Electronics,Portable Charger,281.78,0.61
O5053,2024-11-24,C1213,P2024,1,201.01,0.05,10.05,12.5,106.54,203.46,71.92,Pix,Affiliate,,Delivered,2,0.11358318627219988,0.5816000155254027,Thiago Costa,thiago.costa213@example.com,23,Male,Salvador,CE,46.53,Sports,Fitness Tracker,201.01,0.53
O5054,2025-07-30,C1122,P2024,1,201.01,0.0,0.0,18.0,106.54,219.01,76.47,Credit Card,Paid Search,Abandoned Cart,Delivered,2,0.2712808995027455,0.4548389240443558,Ana Barbosa,ana.barbosa122@example.com,31,Female,Florianópolis,PE,34.98,Sports,Fitness Tracker,201.01,0.53
O5055,2025-09-23,C1150,P2009,2,214.64,0.05,21.46,0.0,274.74,407.82,133.08,Credit Card,Email,,Delivered,5,0.6765759070836642,0.47137906094779314,Daniel Carvalho,daniel.carvalho150@example.com,55,Male,Pojto Alegre,PE,26.11,Home,Kitchen Knife,214.64,0.64
O5056,2025-09-13,C1058,P2006,1,20.98,0.0,0.0,9.9,9.44,30.88,1.64,Pix,Organic Search,,Delivered,2,0.3541637884126093,0.34585289290285726,Sofia Santos,sofia.santos58@example.com,57,Male,Rio de Janeiro,SC,40.17,Home,Throw Pillow,20.98,0.45
O5057,2025-04-30,C1331,P2016,1,335.99,0.0,0.0,9.9,188.15,345.89,137.94,Pix,Email,,Delivered,3,0.45751373633809334,0.6403802828140961,Pedro Ramos,pedro.ramos331@example.com,48,Male,Brasília,CE,8.83,Beauty,Sunscreen,335.99,0.56
O5058,2025-07-05,C1409,P2015,1,283.3,0.0,0.0,5.0,184.14,288.3,94.16,PayPal,Social (Instagram),,Delivered,2,0.06643716250603005,0.9572856089660257,Bruno Fernandes,bruno.fernandes409@example.com,65,Female,Porto Alegre,BA,43.13,Beauty,Facial Cleanser,283.3,0.65
O5059,2025-02-17,C1536,P2004,2,54.76,0.2,21.9,12.5,47.09,100.12,28.03,Pix,Organic Search,,Returned,2,0.5587858269153244,0.5555174259309789,Isabela Nascimento,isabela.nascimento536@example.com,61,Male,São Paulo,SP,40.07,Electronics,Smartwatch,54.76,0.43
O5060,2025-03-25,C1254,P2022,1,212.64,0.0,0.0,25.0,127.58,237.64,60.06,Debit Card,Email,Summer Sale,Delivered,3,0.4946953549583667,0.7677187648213535,Marina Gomes,marina.gomes254@example.com,39,Female,Belo Horizonte,DF,23.05,Sports,Dumbbell Set,212.64,0.6
O5061,2025-07-06,C1234,P2020,2,175.28,0.2,70.11,12.5,248.9,292.95,19.05,Boleto,Affiliate,,Delivered,5,0.31660592565534473,0.32679597707504116,Bruno Pereira,bruno.pereira234@example.com,51,Non-binary,São Paulo,MG,9.85,Sports,Yoga Mat,175.28,0.71
O5062,2025-09-14,C1448,P2013,1,373.0,0.1,37.3,9.9,268.56,345.6,57.24,Credit Card,Email,,Returned,7,0.7040290027146425,0.6369021928125361,Rafael Ramos,rafael.ramos448@example.com,63,Non-binary,São Paulo,PE,21.73,Fashion,Backpack,373.0,0.72
O5063,2025-04-26,C1546,P2016,2,335.99,0.0,0.0,25.0,376.31,696.98,270.67,,Social (Instagram),,Delivered,3,0.7059477365220372,0.3186902179440917,Sofia Lima,sofia.lima546@example.com,61,Male,Florianópohis,RS,21.1,Beauty,Sunscreen,335.99,0.56
O5064,2024-11-08,C1030,P2023,1,123.05,0.05,6.15,5.0,77.52,121.9,34.38,Pix,Email,,Delivered,4,0.5667328999445128,0.2048459742409715,Mateus Lima,mateus.lima30@example.com,55,Female,Porto Alegre,RJ,27.72,Sports,Water Bottle,123.05,0.63
O5065,2024-12-25,C1122,P2022,1,212.64,0.0,0.0,5.0,127.58,217.64,80.06,Debit Card,Social (Instagram),,Delivered,4,0.03309313174487305,0.36253716900196575,Ana Barbosa,ana.barbosa122@example.com,31,Female,Florianópolis,PE,34.98,Sports,Dumbbell Set,212.64,0.6
O5066,2025-07-22,C1013,P2013,1,373.0,0.0,0.0,5.0,268.56,378.0,99.44,PayPal,Organic Search,,Delivered,2,0.8045359798621597,0.251288171480222,Paula Costa,paula.costa13@example.com,61,Female,Belo Horizonte,SP,39.93,Fashion,Backpack,373.0,0.72
O5067,2024-11-18,C1461,P2000,1,203.97,0.0,0.0,5.0,130.54,208.97,68.43,,Affiliate,New Launch,Delivered,2,0.1577406158042577,0.626589051672234,Carla Costa,carla.costa461@example.com,58,Female,Recife,SC,3.32,Electronics,Wireless Headphones,203.97,0.64
O5068,2025-05-11,C1510,P2003,1,120.28,0.1,12.03,0.0,76.98,108.25,31.27,PayPal,Paid Search,Summer Sale,Delivered,2,0.8739856201488354,0.9863581803892595,Ana Santos,ana.santos510@example.com,54,Female,Curitiba,BA,26.02,Electronics,Bluetooth Speaker,120.28,0.64
O5069,2025-08-08,C1262,P2010,1,278.93,0.05,13.95,18.0,172.94,282.98,,Boleto,Social (Facebook),,Delivered,3,0.5459721913850256,0.6446276799437853,Sofia Santos,sofia.santos262@example.com,51,Male,Fortaleza,SC,15.63,Fashion,T-Shirt,278.93,0.62
O5070,2025-07-10,C1268,P2022,1,212.64,0.0,0.0,0.0,127.58,212.64,85.06,Credit Card,Social (Instagram),,Delivered,2,0.4890322573130509,0.3987036551758154,Eduardo Nascimento,eduardo.nascimento268@example.com,53,Male,Florianópolis,MG,17.88,Sports,Dumbbell Set,212.64,0.6
O5071,2025-02-06,C1448,P2008,1,122.69,0.0,0.0,-9.9,46.62,132.59,66.17,PayPal,Direct,,Cancelled,3,0.6876025108296356,0.6599469915212415,Rafael Ramos,rafael.ramos448@example.com,63,Non-binary,São Paulo,PE,21.73,Home,Cotton Bedsheet,122.69,0.38
O5072,2025-05-03,C1455,P2019,1,249.17,0.1,24.92,9.9,114.62,234.15,99.73,Boleto,Affiliate,,Delivered,3,0.09037252205004309,0.46451100513652477,Paula Pereira,paula.pereira455@example.com,20,Male,Curitiba,RJ,41.79,Beauty,Nail Polish,249.17,0.46
O5073,2024-12-18,C1375,P2000,2,203.97,0.0,0.0,25.0,261.08,432.94,,Pix,Social (Facebook),,Delivered,3,0.7727520864582916,0.5806313511690445,Carla Santos,carla.santos375@example.com,66,Male,Belo Horizonte,BA,37.8,Electronics,Wireless Headphones,203.97,0.64
O5074,2025-03-10,C1506,P2023,1,123.05,0.05,6.15,9.9,77.52,126.8,29.48,Pix,Social (Facebook),New Launch,Delivered,4,0.26427645440889147,0.5633129045343365,Eduardo Ramos,eduardo.ramos506@example.com,66,Female,Recife,MG,34.98,Sports,Water Bottle,123.05,0.63
O5075,2025-06-29,C1329,P2003,1,120.28,0.0,0.0,0.0,76.98,120.28,43.3,Debit Card,Affiliate,Holiday Promo,Delivered,3,0.22232669120441417,0.5178202986532077,Isabela Rodrigues,isabela.rodrigues329@example.com,23,Female,Rio de Janeiro,CE,4.94,Electronics,Bluetooth Speaker,120.28,0.64
O5076,2024-11-09,C1179,P2000,1,203.97,0.1,20.4,12.5,130.54,196.07,,PayPal,Paid Search,Abandoned Cart,Delivered,2,0.6746776285115358,0.18530579600981067,Lucas Lima,lucas.lima179@example.com,47,Female,Fortaleza,SP,26.6,Electronics,Wireless Headphones,203.97,0.64
O5077,2024-11-02,C1373,P2024,2,201.01,0.0,0.0,5.0,213.07,407.02,183.95,Boleto,Direct,,Delivered,7,0.20270707954184186,0.9134158339795975,Marina Silva,marina.silva373@example.com,41,Female,Florianópolis,CE,4.53,Sports,Fitness Tracker,201.01,0.53
O5078,2025-07-17,C1290,P2018,1,415.53,0.0,0.0,25.0,241.01,440.53,149.52,Credit Card,Organic Search,Holiday Promo,Delivered,10,0.5169631024835379,0.5725121330416838,Laura Nascimento,laura.nascimento290@example.com,42,Female,Rio de Janeiro,PR,24.88,Beauty,Lipstick,415.53,0.58
O5079,2025-06-14,C1534,P2011,1,50.3,0.15,7.54,0.0,36.72,42.76,6.04,Credit Card,Organic Search,,Delivered,4,0.45555848909469265,0.3827104278762671,Gustavo Ramos,gustavo.ramos534@example.com,51,Female,Florianópolis,PR,31.8,Fashion,Jeans,50.3,0.73
O5080,2025-09-22,C1204,P2011,3,50.3,0.2,30.18,12.5,110.16,133.22,-1.94,Credit Card,Paid Search,Summer Sale,Delivered,2,0.3106820512819667,0.8011681883922744,Bruno Barbosa,bruno.barbosa204@example.com,30,Male,Belo Horizonte,CE,4.53,Fashion,Jeans,50.3,0.73
O5081,2025-09-02,C1594,P2021,1,304.91,0.0,0.0,12.5,201.24,317.41,91.17,Boleto,Social (Facebook),,Delivered,2,0.7579704586807576,0.5678008004393289,Daniel Santos,daniel.santos594@example.com,58,Male,Rio de Janeiro,RS,7.08,Sports,Running Shorts,304.91,0.66
O5082,2025-03-04,C1199,P2017,1,44.78,0.0,0.0,9.9,22.39,54.68,12.49,Credit Card,Email,New Launch,Delivered,7,0.38591797759602275,0.6908988872276309,Carla Carvalho,carla.carvalho199@example.com,40,Male,Porto Alegre,CE,27.08,Beauty,Perfume,44.78,0.5
O5083,2025-07-28,C1392,P2001,1,18.94,0.0,0.0,18.0,11.17,36.94,-10.23,Boleto,Social (Instagram),Abandoned Cart,Delivered,7,0.729822918831074,0.13369479258215344,Camila Almeida,camila.almeida392@example.com,22,Male,Florianópolis,PR,24.27,Electronics,Smartphone Case,18.94,0.59
O5084,2024-11-17,C1395,P2017,1,44.78,0.0,0.0,12.5,22.39,57.28,9.89,Debit Card,Direct,Summer Sale,Delivered,5,0.4879525533296287,0.9565267482167172,Sofia Fernandes,sofia.fernandes395@example.com,51,Female,Brasília,CE,28.09,Beauty,Perfume,44.78,0.5
O5085,2024-11-27,C1083,P2000,3,203.97,0.2,122.38,5.0,391.62,494.53,92.91,Credit Card,Social (Instagram),,Cancelled,3,0.9342699648337701,0.332702437111263,Sofia Nascimento,sofia.nascimento83@example.com,64,Female,Florianópolis,SC,6.85,Electronics,Wireless Headphones,203.97,0.64
O5086,2025-05-25,C1278,P2022,1,212.64,0.05,10.63,0.0,127.58,202.01,74.43,Credit Card,Direct,New Launch,Delivered,7,0.06886241919259362,0.1931037614697384,Beatriz Gomes,beatriz.gomes278@example.com,38,Female,Recife,BA,10.5,Sports,Dumbbell Set,212.64,0.6
O5087,2025-05-24,C1270,P2008,1,122.69,0.05,6.13,12.5,46.62,129.06,57.44,,Paid Search,,Delivered,2,0.7231436344271419,0.15508215557279414,Paula Souza,paula.souza270@example.com,29,Male,Salvador,RS,31.07,Home,Cotton Bedsheet,122.69,0.38
O5088,2025-03-25,C1265,P2021,2,304.91,0.0,0.0,5.0,402.48,614.82,202.34,Pix,Social (Instagram),,Delivered,3,0.230279916685876,0.5344558603387405,Eduardo Rodrigues,eduardo.rodrigues265@example.com,54,Male,Brasília,BA,23.37,Sports,Running Shorts,304.91,0.66
O5089,2025-02-17,C1200,P2013,1,373.0,0.0,0.0,9.9,268.56,382.9,94.54,Debit Card,Direct,Abandoned Cart,Cancelled,5,0.7596164284505897,0.40094657761228136,Daniel Ramos,daniel.ramos200@example.com,56,Female,Recise,MG,25.09,Fashion,Backpack,373.0,0.72
O5090,2025-02-26,C1252,P2014,1,251.75,0.0,0.0,12.5,108.25,264.25,131.0,Credit Card,Affiliate,Summer Sale,Delivered,3,0.4038912811676184,0.838853823023788,Gustavo Carvalho,gustavo.carvalho252@example.com,48,Male,Rio de Janeiro,PE,32.01,Fashion,Sunglasses,251.75,0.43
